venue,date,time,interested,sold_out,title,desc,url
"Concert Hall, Sydney Opera House",Thu 19 March,7:00pm,No,No,Saint-Saëns’ Organ Symphony,"When the Grand Organ enters Saint-Saëns’ Third Symphony, the room changes. When the Sydney Opera House Grand Organ roars to life the sound will shake the Concert Hall with its deep, resonant power – and just wait until you hear Anna Lapwood play. Her playing is technically brilliant, but her warmth and contagious energy makes this an unmissable event.",https://www.sydneysymphony.com/concerts/saint-saens-organ-symphony-2026
"Christ Church St Laurence, Sydney",Fri 20 March,11:30am,No,No,Meet the Organ with Anna Lapwood,"Whether you’re already learning the organ, play piano and are curious about the instrument, or simply want to discover something new, this workshop offers a rare opportunity to explore the organ up close with one of its most inspiring champions.Please note that the following is a workshop, not a performance, and is only available for four (4) tickets per school.",https://www.sydneysymphony.com/concerts/meet-the-organ-with-anna-lapwood
"Concert Hall, Sydney Opera House",Fri 20 March,7:00pm,No,No,Saint-Saëns’ Organ Symphony,"When the Grand Organ enters Saint-Saëns’ Third Symphony, the room changes. When the Sydney Opera House Grand Organ roars to life the sound will shake the Concert Hall with its deep, resonant power – and just wait until you hear Anna Lapwood play. Her playing is technically brilliant, but her warmth and contagious energy makes this an unmissable event.",https://www.sydneysymphony.com/concerts/saint-saens-organ-symphony-2026
"Concert Hall, Sydney Opera House",Sat 21 March,2:00pm,No,No,Saint-Saëns’ Organ Symphony,"When the Grand Organ enters Saint-Saëns’ Third Symphony, the room changes. When the Sydney Opera House Grand Organ roars to life the sound will shake the Concert Hall with its deep, resonant power – and just wait until you hear Anna Lapwood play. Her playing is technically brilliant, but her warmth and contagious energy makes this an unmissable event.",https://www.sydneysymphony.com/concerts/saint-saens-organ-symphony-2026
"Concert Hall, Sydney Opera House",Sun 22 March,7:00pm,No,No,An Organ Recital with Anna Lapwood,"The Times calls her ‘a star on a mission – and a breath of fresh air for classical music.’ In her Australian debut recital, Lapwood takes the keys to the Sydney Opera House Grand Organ, one of the largest and most majestic instruments in the world. And when Lapwood plays it, the Concert Hall becomes a portal into new realms.",https://www.sydneysymphony.com/concerts/organ-recital-with-lapwood
"Concert Hall, Sydney Opera House",Wed 25 March,8:00pm,No,No,Anna Lapwood performs Max Richter,"Max Richter’s music comes directly from the heart; his compositions feel both vast and intimately personal. ABC Classic calls him an ‘expert in presenting an emotion or a feeling.’ Fresh from its 2025 BBC Proms debut, his luminous concerto for organ, orchestra and choir Cosmology receives its Australian premiere.",https://www.sydneysymphony.com/concerts/anna-lapwood-performs-max-richter
"Concert Hall, Sydney Opera House",Thu 26 March,1:30pm,No,No,Anna Lapwood performs Max Richter,"Max Richter’s music comes directly from the heart; his compositions feel both vast and intimately personal. ABC Classic calls him an ‘expert in presenting an emotion or a feeling.’ Fresh from its 2025 BBC Proms debut, his luminous concerto for organ, orchestra and choir Cosmology receives its Australian premiere.",https://www.sydneysymphony.com/concerts/anna-lapwood-performs-max-richter
"Concert Hall, Sydney Opera House",Fri 27 March,8:00pm,No,No,Anna Lapwood performs Max Richter,"Max Richter’s music comes directly from the heart; his compositions feel both vast and intimately personal. ABC Classic calls him an ‘expert in presenting an emotion or a feeling.’ Fresh from its 2025 BBC Proms debut, his luminous concerto for organ, orchestra and choir Cosmology receives its Australian premiere.",https://www.sydneysymphony.com/concerts/anna-lapwood-performs-max-richter
"Concert Hall, Sydney Opera House",Sat 28 March,8:00pm,No,No,Anna Lapwood performs Max Richter,"Max Richter’s music comes directly from the heart; his compositions feel both vast and intimately personal. ABC Classic calls him an ‘expert in presenting an emotion or a feeling.’ Fresh from its 2025 BBC Proms debut, his luminous concerto for organ, orchestra and choir Cosmology receives its Australian premiere.",https://www.sydneysymphony.com/concerts/anna-lapwood-performs-max-richter
"Concert Hall, Sydney Opera House",Thu 09 April,7:00pm,No,No,Donald Runnicles conducts Mahler’s Sixth Symphony,"Mahler’s Sixth Symphony charts a turbulent emotional course. Across four searing movements he wrestles with hope and futility, conjuring moments of delicate beauty and pounding dread. From an innocent lullaby to an unforgiving military march, this symphony spans the full spectrum of feeling. It all culminates in the final movement with one of the most dramatic moments in all of music: a huge mallet strikes a giant wooden box, signifying the hammer blows of fate. A sound so dramatic it has become a legend.",https://www.sydneysymphony.com/concerts/donald-runnicles-conducts-mahlers-sixth-symphony
"Concert Hall, Sydney Opera House",Sat 11 April,2:00pm,No,No,Donald Runnicles conducts Mahler’s Sixth Symphony,"Mahler’s Sixth Symphony charts a turbulent emotional course. Across four searing movements he wrestles with hope and futility, conjuring moments of delicate beauty and pounding dread. From an innocent lullaby to an unforgiving military march, this symphony spans the full spectrum of feeling. It all culminates in the final movement with one of the most dramatic moments in all of music: a huge mallet strikes a giant wooden box, signifying the hammer blows of fate. A sound so dramatic it has become a legend.",https://www.sydneysymphony.com/concerts/donald-runnicles-conducts-mahlers-sixth-symphony
"Concert Hall, Sydney Opera House",Wed 15 April,8:00pm,No,No,Tchaikovsky’s Fifth Symphony,"From lyrical intimacy to blazing transformation, the emotional sweep of this program is undeniable. Shostakovich’s First Violin Concerto opens in eerie stillness, tension brewing beneath the surface. When the third movement arrives it strikes with pathos and raw emotion. First in the trombones, then tenderly in the woodwinds, weaving a path for the violin’s entrance, growing through variations of unfiltered, searching intensity.",https://www.sydneysymphony.com/concerts/tchaikovsky-fifth-symphony-2026
"Concert Hall, Sydney Opera House",Thu 16 April,1:30pm,No,No,Tchaikovsky’s Fifth Symphony,"From lyrical intimacy to blazing transformation, the emotional sweep of this program is undeniable. Shostakovich’s First Violin Concerto opens in eerie stillness, tension brewing beneath the surface. When the third movement arrives it strikes with pathos and raw emotion. First in the trombones, then tenderly in the woodwinds, weaving a path for the violin’s entrance, growing through variations of unfiltered, searching intensity.",https://www.sydneysymphony.com/concerts/tchaikovsky-fifth-symphony-2026
"Concert Hall, Sydney Opera House",Fri 17 April,8:00pm,No,No,Tchaikovsky’s Fifth Symphony,"From lyrical intimacy to blazing transformation, the emotional sweep of this program is undeniable. Shostakovich’s First Violin Concerto opens in eerie stillness, tension brewing beneath the surface. When the third movement arrives it strikes with pathos and raw emotion. First in the trombones, then tenderly in the woodwinds, weaving a path for the violin’s entrance, growing through variations of unfiltered, searching intensity.",https://www.sydneysymphony.com/concerts/tchaikovsky-fifth-symphony-2026
"Concert Hall, Sydney Opera House",Sat 18 April,8:00pm,No,No,Tchaikovsky’s Fifth Symphony,"From lyrical intimacy to blazing transformation, the emotional sweep of this program is undeniable. Shostakovich’s First Violin Concerto opens in eerie stillness, tension brewing beneath the surface. When the third movement arrives it strikes with pathos and raw emotion. First in the trombones, then tenderly in the woodwinds, weaving a path for the violin’s entrance, growing through variations of unfiltered, searching intensity.",https://www.sydneysymphony.com/concerts/tchaikovsky-fifth-symphony-2026
City Recital Hall,Thu 23 April,7:00pm,No,No,Genevieve Lacey & the Sydney Symphony,"Over three decades, Australia’s own recorder queen has built an extraordinary, multi-faceted career. From guest soloist with some of Europe’s most acclaimed early music ensembles to commissioning new works by the great composers of the 21st century, the common thread connecting it all is Lacey’s artistic curiosity, her generous connection with audiences and her expressive musicianship.",https://www.sydneysymphony.com/concerts/genevieve-lacey-sydney-symphony
"Concert Hall, Sydney Opera House",Tue 28 April,7:00pm,No,No,Open Rehearsal with Benjamin Northey,"Conductor in Residence Benjamin Northey is a superb conductor, in demand to lead everything from the great masterpieces to contemporary works and live to film concerts. In this 90-minute open rehearsal, watch as he draws on all that experience to shape Holst’s beloved The Planets and a concerto by acclaimed Australian composer Nigel Westlake, written for our Principal Percussion Rebecca Lagos. This is your chance to be a fly on the wall and watch as it all comes together. Numbers are limited – book now to avoid disappointment.",https://www.sydneysymphony.com/concerts/open-rehearsal-with-benjamin-northey
"Concert Hall, Sydney Opera House",Wed 29 April,11:30am,No,No,Philharmonia Fantastique: The Making of the Orchestra,"In this 25-minute animated film, students take a magical journey through the anatomy of an orchestra, where strings pulse, winds flutter, percussion bursts and brass gleams. With each section becoming their own character, this is music like your students have never experienced before.",https://www.sydneysymphony.com/concerts/schools-concert-philharmonia-fantastique-the-making-of-the-orchestra
"Studio, Sydney Opera House",Fri 01 May,10:00am,No,No,"For Schools: Ready, Set, Listen! Symphonic Dances","Ready, Set, Listen! is our brand new series of 30-minute concerts specially created for students in K–2 and featuring beloved children’s entertainer Emily Who. Each performance centres around a piece of core classical repertoire arranged for a smaller ensemble, specially adapted for young ears and imaginations.",https://www.sydneysymphony.com/concerts/schools-concert-ready-set-listen-symphonic-dances
"Studio, Sydney Opera House",Fri 01 May,11:30am,No,No,"For Schools: Ready, Set, Listen! Symphonic Dances","Ready, Set, Listen! is our brand new series of 30-minute concerts specially created for students in K–2 and featuring beloved children’s entertainer Emily Who. Each performance centres around a piece of core classical repertoire arranged for a smaller ensemble, specially adapted for young ears and imaginations.",https://www.sydneysymphony.com/concerts/schools-concert-ready-set-listen-symphonic-dances
"Studio, Sydney Opera House",Fri 01 May,1:00pm,No,No,"For Schools: Ready, Set, Listen! Symphonic Dances","Ready, Set, Listen! is our brand new series of 30-minute concerts specially created for students in K–2 and featuring beloved children’s entertainer Emily Who. Each performance centres around a piece of core classical repertoire arranged for a smaller ensemble, specially adapted for young ears and imaginations.",https://www.sydneysymphony.com/concerts/schools-concert-ready-set-listen-symphonic-dances
"Concert Hall, Sydney Opera House",Fri 01 May,7:00pm,No,No,Symphonic Cinema: The Planets,"In this world premiere presentation, a captivating silent film by Dutch director Lucas van Woerkum explores the vastness of the cosmos and the intimacy of human experience. More than a visual accompaniment to music, this is a deeply felt journey that expands the Sydney Opera House Concert Hall into a shared space of wonder and reflection. Van Woerkum performs as a cinema soloist, matching his film in real time to the Orchestra’s performance; as Holst’s celestial masterpiece fills the air, the images unfold like a dream – mysterious, luminous, and unforgettable.",https://www.sydneysymphony.com/concerts/holsts-planets-symphonic-cinema
"Studio, Sydney Opera House",Sat 02 May,10:00am,No,No,"Ready, Set, Listen! Symphonic Dances","Rachmaninov’s Symphonic Dances combine irresistible rhythms with big, catchy tunes – a perfect introduction to classical music! Designed to engage children aged 0–5 in active live music listening, these 30-minute interactive performances feature the extraordinary musicians of the Sydney Symphony Orchestra performing music arranged for a small ensemble by composer Tim Hansen alongside leading children’s entertainer Emily Who.",https://www.sydneysymphony.com/concerts/ready-set-listen-symphonic-dances
"Studio, Sydney Opera House",Sat 02 May,11:30am,No,No,"Ready, Set, Listen! Symphonic Dances","Rachmaninov’s Symphonic Dances combine irresistible rhythms with big, catchy tunes – a perfect introduction to classical music! Designed to engage children aged 0–5 in active live music listening, these 30-minute interactive performances feature the extraordinary musicians of the Sydney Symphony Orchestra performing music arranged for a small ensemble by composer Tim Hansen alongside leading children’s entertainer Emily Who.",https://www.sydneysymphony.com/concerts/ready-set-listen-symphonic-dances
"Studio, Sydney Opera House",Sat 02 May,1:00pm,No,No,"Ready, Set, Listen! Symphonic Dances","Rachmaninov’s Symphonic Dances combine irresistible rhythms with big, catchy tunes – a perfect introduction to classical music! Designed to engage children aged 0–5 in active live music listening, these 30-minute interactive performances feature the extraordinary musicians of the Sydney Symphony Orchestra performing music arranged for a small ensemble by composer Tim Hansen alongside leading children’s entertainer Emily Who.",https://www.sydneysymphony.com/concerts/ready-set-listen-symphonic-dances
"Concert Hall, Sydney Opera House",Sat 02 May,7:00pm,No,No,Symphonic Cinema: The Planets,"In this world premiere presentation, a captivating silent film by Dutch director Lucas van Woerkum explores the vastness of the cosmos and the intimacy of human experience. More than a visual accompaniment to music, this is a deeply felt journey that expands the Sydney Opera House Concert Hall into a shared space of wonder and reflection. Van Woerkum performs as a cinema soloist, matching his film in real time to the Orchestra’s performance; as Holst’s celestial masterpiece fills the air, the images unfold like a dream – mysterious, luminous, and unforgettable.",https://www.sydneysymphony.com/concerts/holsts-planets-symphonic-cinema
"Concert Hall, Sydney Opera House",Sun 03 May,2:00pm,No,No,Symphonic Cinema: The Planets,"In this world premiere presentation, a captivating silent film by Dutch director Lucas van Woerkum explores the vastness of the cosmos and the intimacy of human experience. More than a visual accompaniment to music, this is a deeply felt journey that expands the Sydney Opera House Concert Hall into a shared space of wonder and reflection. Van Woerkum performs as a cinema soloist, matching his film in real time to the Orchestra’s performance; as Holst’s celestial masterpiece fills the air, the images unfold like a dream – mysterious, luminous, and unforgettable.",https://www.sydneysymphony.com/concerts/holsts-planets-symphonic-cinema
"Utzon Room, Sydney Opera House",Fri 08 May,6:00pm,No,No,Cocktail Hour with Euan Harvey,"In Richard Strauss’ opera Capriccio, characters debate whether art, poetry or music is more important; this exquisite Sextet makes a persuasive argument for the latter. Composed as a birthday present to his wife and based on a German lullaby, Wagner’s Siegfried Idyll captures the composer in an intimate domestic setting a world away from the bombast of his famous operas.",https://www.sydneysymphony.com/concerts/cocktail-hour-with-euan-harvey
"Utzon Room, Sydney Opera House",Sat 09 May,6:00pm,No,No,Cocktail Hour with Euan Harvey,"In Richard Strauss’ opera Capriccio, characters debate whether art, poetry or music is more important; this exquisite Sextet makes a persuasive argument for the latter. Composed as a birthday present to his wife and based on a German lullaby, Wagner’s Siegfried Idyll captures the composer in an intimate domestic setting a world away from the bombast of his famous operas.",https://www.sydneysymphony.com/concerts/cocktail-hour-with-euan-harvey
"Concert Hall, Sydney Opera House",Tue 12 May,10:00am,No,No,For Schools: Open Rehearsal with Nicholas Carter,"This program draws inspiration from the ocean: Britten’s Sea Interludes from Peter Grimes present an unforgiving antagonist; Debussy’s La Mer depicts a world of enchantment, and in its Australian premiere Poème by Jeanne Demessieux plumbs the still depths of the sea. Australian conductor Nicholas Carter returns home from triumphs in Europe and America to lead this program of oceanic contrasts.",https://www.sydneysymphony.com/concerts/schools-open-rehearsal-with-nicholas-carter
"Concert Hall, Sydney Opera House",Wed 13 May,8:00pm,No,No,Alexander Gavrylyuk performs Rachmaninov,"Our former Principal Conductor Vladimir Ashkenazy called him ‘an extraordinary talent.’ Here Gavrylyuk tackles Rachmaninov’s notoriously difficult Rhapsody on a Theme of Paganini. These 24 variations take you on a wild ride, from stormy to mischievous to tender; but in the 18th, Rachmaninov flips the melody upside down to reveal one of classical music’s biggest and best-loved tunes.",https://www.sydneysymphony.com/concerts/alexander-gavrylyuk-performs-rachmaninov
